sys_id,sys_code,main_id,ids,otype_txt,otype_shortname,otype_longname,otypes,Average of ra,Average of dec,Average of dist
161,,V* GL Vir                   ,Karmn J12189+111|[ZEH2003] RX J1219.0+1107  3|PLX 2835.0|Cl* Melotte   25    EGG      42|LSPM J1218+1107|NLTT 30309|2MASS J12185939+1107338|USNO-B1.0 1011-00205601|8pc 152.90|G  12-30|GEN# +9.80012030|GJ  1156|L 1190-34|LFT  895|LHS   324|LP  494-77|LTT 13440|NSV  5547|PM 12165+1124|UBV M  42590|USNO 237|V* GL Vir|Zkh 177|[GKL99] 256|[RHG95]  1934|PLX 2835.01|WISEA J121858.47+110735.8|UCAC4 506-054032|PM J12189+1107|GALEX 6378902701369986452|Gaia DR2 3907283967108054528                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Fl*    ,Fl*          ,Flare Star                     ,Fl*|V* |IR |*iC|*  |PM*|PM*|Fl*|PM*|PM*|*  |UV |UV                                     ,184.7474997,11.12604729,6.690733333
162,,WISE J140518.39+553421.3    ,WISEP J140518.40+553421.5|WISE J140518.39+553421.3|WISEP J140518.40+553421.4|EQ J1405+5534|WISEA J140518.32+553421.3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,BD*|BD*|IR |BD*                                                                        ,211.326641,55.572611,6.7
163,,BD+01  2447                 ,PLX 2456|LSPM J1028+0050|ASCC 1133482|UCAC2  32036240|USNO-B1.0 0908-00191111|8pc 138.29|AG+01 1298|BD+01  2447|Ci 20  580|G  55-24|G 162-60|GCRV  6576|GEN# +0.00102447|GJ   393|GSC 00246-01068|HIC  51317|HIP  51317|JP11     7|LFT  719|LHS  2272|LTT 12805|MCC 127|NC 28|NLTT 24467|PPM 156874|Ross  446|TYC  246-1068-1|UBV    9694|UBV M    156|UBV    9672|VVO 262|Zkh 142|[ATZ98] C060|[RHG95]  1642|2MASS J10285555+0050275|PLX 2456.00|1RXS J102855.9+005023|RX J1028.9+0050|ASAS J102856+0050.5|WISEA J102855.13+005020.1|UCAC4 455-050081|StKM 2-642|PM J10289+0050|GALEX 6381928538042272148|WEB  9373|Gaia DR2 3855208897392952192                                                                                                                                                                                                                                                                                                                                                                                                                               ,PM*    ,PM*          ,High proper-motion Star        ,PM*|X  |*  |IR |V* |PM*|*  |*  |*  |UV |UV                                             ,157.2314638,0.841000505,6.700966667
164,,Ross  104                   ,PLX 2561|LSPM J1100+2249|ASCC  776322|UCAC2  39850706|2MASS J11000432+2249592|USNO-B1.0 1128-00230478|8pc 150.96|AC +23   468-46|CSI+23-10574|Ci 20  601|G  58-32|G 120-9|G 119-49|GCRV  6797|GEN# +9.80058032|GJ   408|HIC  53767|HIP  53767|LHS  6193|LTT 12942|MCC 128|NLTT 25946|Ross  104|TYC 1978-1286-1|UBV   10057|Zkh 148|[HFE83]  768|[RHG95]  1709|PLX 2561.00|WISEA J110003.93+224955.7|UCAC4 565-047644|StKM 2-688|PM J11000+2249|GALEX 6387874711957667994|WEB  9740|Gaia DR2 3988987164339438208                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,PM*    ,PM*          ,High proper-motion Star        ,PM*|IR |*  |PM*|PM*|PM*|*  |UV |UV                                                     ,165.0177374,22.8329574,6.70545
165,,2MASS J15031961+2525196     ,2MASS J15031961+2525196|2MASSW J1503196+252519|SDSS J150319.64+252522.4|WISEP J150319.70+252525.4|WISEA J150319.68+252525.7|Gaia DR2 1267906854386665088                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,IR |BD*|PM*|PM*|*                                                                      ,225.8317107,25.42215925,6.72745
166,,* ksi Boo A                 ,Gaia DR2 1237090738916392704|IDS 14468+1931 A|TYC 1481-722-1|CCDM J14513+1906A|* ksi Boo A|8pc 149.26A|ADS  9413 A|BD+19  2870A|CSI+19  2870  4|GJ   566 A|HD 131156A|Zkh 212|WDS J14514+1906A|** STF 1888A|GCRV  8634                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,PM*    ,PM*          ,High proper-motion Star        ,** |*  |PM*|Ro*|X                                                                      ,222.8474487,19.10045609,6.7331
167,,Ross  775                   ,PLX 5177|Cl* Melotte   25    EGG      57|LSPM J2129+1738|ASCC  904693|UCAC2  38175716|2MASS J21293671+1738353|USNO-B1.0 1076-00695266|AC +17   534|CSI+17-21272|Ci 20 1285|G 145-40|G 126-4|GCRV 13510|GEN# +6.10220775|GEN# +6.10010829|GJ   829|HIC 106106|HIP 106106|JP11  5179|LFT 1634|LHS   508|LTT 16285|NLTT 51370|Ross  775|TYC 1668-637-1|Zkh 319|[RHG95]  3360|PLX 5177.00|StKM 1-1903|GJ   829 B|GJ   829 A|8pc 148.29|WISEA J212937.55+173839.8|PM J21296+1738|UCAC4 539-143440|GALEX 6376334237910435583|WEB 19230|Gaia DR2 1784473016438653056                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,PM*    ,PM*          ,High proper-motion Star        ,*iC|IR |PM*|*  |** |PM*|PM*|*  |*  |UV |UV                                             ,322.4033834,17.64329431,6.73725
168,,* ksi Boo B                 ,IDS 14468+1931 B|TYC 1481-722-2|WDS J14514+1906B|* ksi Boo B|8pc 149.26B|ADS  9413 B|BD+19  2870B|CCDM J14513+1906B|CSI+19  2870  5|GCRV  8635|GEN# +1.00131156B|GJ   566 B|HD 131156B|Zkh 213|** STF 1888B|WEB 12490|Gaia DR2 1237090738916392832                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,PM*    ,PM*          ,High proper-motion Star        ,** |*  |PM*|Ro*                                                                        ,222.8460183,19.10191156,6.747
169,,L  788-34                   ,2MASS J22230696-1736250|GJ  4274|L  788-34|LEHPM 4643|LHS  3799|LP  820-12|LTT  9001|NLTT 53683|PM 22204-1751|USNO 573|[GKL99] 422|[RHG95]  3517|PLX 5413.01|8pc 134.40|RAVE J222307.0-173625|WISEA J222307.22-173633.9|Gaia DR2 2595284016771502080|UCAC4 362-201027|PM J22231-1736                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Fl*    ,Fl*          ,Flare Star                     ,PM*|Fl*|IR |*  |PM*|PM*                                                                ,335.7791546,-17.60731501,6.769
170,,LP  914-54                  ,2MUCD 11264|2MASS J14563831-2809473|2MASSI J1456383-280947|GJ  3877|LHS  3003|LP  914-54|NLTT 38829|[GKL99] 310|[RHG95]  2363|PLX 3372.03|[B2006] J145638.3-280947|WISEA J145637.87-280957.3|Gaia DR2 6224387727748521344|8pc 156.30                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Fl*    ,Fl*          ,Flare Star                     ,Fl*|IR |*  |PM*|Rad|Rad|PM*|PM*                                                        ,224.159435,-28.16350623,6.785933333
171,,WISE J205628.91+145953.2    ,WISEP J205628.90+145953.3|WISE J205628.91+145953.2|EQ J2056+1459|WISEA J205628.88+145953.6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,BD*|IR |BD*                                                                            ,314.120498,14.998118,6.8
172,,HD 216899                   ,GES J22563384+1633085|PLX 5563|LSPM J2256+1633|ASCC  910195|UCAC2  37821006|2MASS J22563497+1633130|USNO-B1.0 1065-00603032|2E  4655|8pc 145.27|AG+16 2553|AGKR 20537|BD+15  4733|Ci 20 1392|DO 21896|G  67-37|GCRV 14402|GEN# +1.00216899|GJ   880|HD 216899|HIC 113296|HIP 113296|IRAS 22541+1617|JP11  3553|LFT 1751|LHS   533|LTT 16744|MCC 854|NLTT 55339|PPM 142008|Ross  671|SAO 108272|TYC 1711-2453-1|UBV   19664|UBV M  26724|VVO 147|YZ  16  9376|YZC 18  9376|Zkh 343|[HFE83] 1535|[RHG95]  3616|PLX 5563.00|1RXS J225635.3+163332|2E 2254.1+1617|Zkh 344|WISEA J225634.03+163309.3|PM J22565+1633|UCAC4 533-147271|Gaia DR1 2828928003907155072|WEB 20157|Gaia DR2 2828928008202069376                                                                                                                                                                                                                                                                                                                                                                             ,PM*    ,PM*          ,High proper-motion Star        ,PM*|IR |X  |*  |PM*|PM*|*  |*                                                          ,344.1450197,16.55343159,6.8588
173,,Wolf  358                   ,Karmn J10508+068|PLX 2524|LSPM J1050+0648|ASCC 1040787|USNO-B1.0 0968-00215383|8pc 177.46|CSI+07-10483|Ci 20  591|G  45-8|G  44-40|GCRV  6733|GEN# +6.10010402|GJ   402|GSC 00261-00224|HIC  53020|HIP  53020|JP11  5135|JP11  5136|JP11  5134|JP11  5137|LFT  742|LHS   294|LTT 12891|NLTT 25500|PM 10483+0705|V* EE Leo|Wolf  358|Zkh 145|[RHG95]  1687|2MASS J10505201+0648292|PLX 2524.00|TYC  261-224-1|Zkh 146|WISEA J105051.41+064820.8|UCAC4 485-051902|PM J10508+0648|Gaia DR1 3864615455592036992|WEB  9640|Gaia DR2 3864615459886222464                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,BY*    ,BY*          ,Variable of BY Dra type        ,PM*|V* |*  |IR |BY*|PM*|PM*|PM*|*                                                      ,162.7167968,6.808128773,6.8644
174,,NAME WISE J1217+1626        ,WISEP J121756.91+162640.2|WISE J121756.90+162640.8|NAME WISE J1217+1626|** LIM    4|WDS J12179+1627AB|EQ J1217+1626|WISEA J121756.92+162640.3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,BD*|BD*|IR |** |BD*|** |*                                                              ,184.487125,16.4445,6.9
175,,SCR J0630-7643              ,2MASS J06304661-7643094|SIPS J0630-7643|SCR J0630-7643|WDS J06308-7643AB|WISEA J063046.51-764303.7|** HEN    4|UCAC3 27-11458|UCAC4 067-005076|DENIS J063046.5-764309|SCR J0630-7643AB|PM J06307-7643                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,**     ,**           ,Double or multiple star        ,PM*|IR |** |** |PM*|PM*|*                                                              ,97.694244,-76.719292,6.9
176,,G 227-22                    ,Karmn J18022+642|LSPM J1802+6415|ASCC  136317|2MASS J18021660+6415445|2E  4002|2E 1802.0+6415|2RE J180214+641548|2RE J1802+641|G 227-22|GSC 04209-01465|LP   71-82|NLTT 45873|[FS2003] 0940|USNO-B1.0 1542-00210205|1RXS J180216.3+641546|EUVE J1802+64.2|RX J1802.2+6415|WISEA J180216.92+641540.2|UCAC4 772-041105|PM J18022+6415|Gaia DR2 2161121135533953536                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,PM*    ,PM*          ,High proper-motion Star        ,PM*|UV |*  |IR |X  |X  |PM*|PM*|*                                                      ,270.5691862,64.26228859,6.960966667
177,,2MASS J19284155+2356016     ,WISE J192841.35+235604.9|EQ J1928+2356|2MASS J19284155+2356016|WISEA J192841.39+235604.5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,PM*|IR |BD*|BD*                                                                        ,292.173164,23.933794,7
178,,G 100-28                    ,Gaia DR2 3428755925216353152|2MASS J05402570+2448090|LSPM J0540+2448|UCAC2  40479757|USNO-B1.0 1148-00083568|G 100-28|LTT 17846|NLTT 15441|USNO 307|V* V780 Tau|[GKL99] 146|[RHG95]   955|PLX 1295.01|WISEA J054025.79+244804.2|UCAC4 575-018322|PM J05404+2448|WDS J05404+2448AB|GJ  1083|** WNO   45                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,**     ,**           ,Double or multiple star        ,Fl*|V* |PM*|IR |Fl*|PM*|PM*|PM*|*  |** |*                                              ,85.107213,24.8021842,7
179,,GD 175                      ,EGGR 190|GEN# +6.10060175|GJ  3889|USNO 539|WD 1503-070|PLX 3410.01|WD 1503-07|2MASS J15054932-0714408|GD 175|Gaia DR2 6332763530870415488                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,WD*    ,WD*          ,White Dwarf                    ,PM*|IR |WD*|*                                                                          ,226.455463,-7.244708216,7
180,,HD 167425                   ,PLX 4187|CD-63  1343|CPC 20.1  5532|CPD-63  4370|CSI-63  4370 41|CSI-63  4370 43|GC 24958|GCRV 67944|GEN# +1.00167425J|HD 167425|HIC  89805|HIP  89805|HR  6828|LTT  7265|NLTT 46224|PPM 363269|SAO 254209|SKY# 33412|TD1 21998|UBV   15512|PLX 4187.00|AKARI-IRC-V1 J1819401-635312|IRAS 18148-6354|1RXS J181941.1-635311|WDS J18197-6353AB|CCDM J18197-6353AB|** I  249|IDS 18100-6355 AB|WEB 15322                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,**     ,**           ,Double or multiple star        ,PM*|UV |** |IR |*  |X                                                                  ,274.9172141,-63.88656339,7
181,,L  489-43                   ,NLTT 47098|2MASS J18522528-3730363|1RXS J185225.7-373032|RX J1852.4-3730|WISEA J185225.68-373037.2|UCAC4 263-185232|PM J18524-3730|L  489-43|Gaia DR2 6730934796246420608                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,PM*    ,PM*          ,High proper-motion Star        ,X  |*  |IR |PM*|PM*|PM*                                                                ,283.1054387,-37.51013374,7
182,,LP  993-116                 ,"NLTT  8912|Gaia DR2 4947513192089475584|2MASS J02451431-4344102|LP  993-116|[BTR99] J024514.1-434401|1RXS J024513.8-434410|APMPM J0245-4344B|CCDM J02452-4344B|IDS 02414-4409 B|L  369-44|LTT  1341|RBS   353|[SII2000]  91|WDS J02452-4344A|WDS J02452-4344Aa,Ab|** BRG   15|UCAC3 93-5950|UCAC4 232-002542|WISEA J024514.36-434414.2|USNO-B1.0 0462-00022413|PM J02452-4344|** CPO   29A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",**     ,**           ,Double or multiple star        ,IR |PM*|X  |PM*|PM*|*  |**                                                             ,41.3096753,-43.7361323,7
183,,UCAC4 642-113039            ,2MASS J21462206+3813047|USNO-B1.0 1282-00553775|LSPM J2146+3813|UCAC4 642-113039|PM J21463+3813|Gaia DR2 1952802469918554368                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,PM*    ,PM*          ,High proper-motion Star        ,*  |IR |*  |PM*|PM*|*                                                                  ,326.591968,38.2180486,7.01985
184,,HD 199305                   ,8pc 141.95|PLX 5012|LSPM J2053+6209|TYC 4251-655-1|ASCC  143946|AG+61 1227|BD+61  2068|CCDM J20532+6210A|CSI+61  2068  1|Ci 18 2707|Ci 20 1238|DO 38993|G 231-19|G 262-30|GCRV 13127|GEN# +1.00199305|HD 199305|HIC 103096|HIP 103096|IDS 20513+6148 A|IRAS 20522+6158A|JP11  3294|LFT 1580|LHS  3595|LTT 16113|MCC 199|NLTT 50124|PPM  22451|UBV   18110|UBV M  25276|VVO 109|Zkh 314|[HFE83] 1402|[RHG95]  3263|2MASS J20531977+6209156|USNO-B1.0 1521-00338444|PLX 5012.00|1RXS J205319.0+620928|WDS J20533+6209A|GJ   809|** BUP  219A|WISEA J205319.80+620907.8|UCAC4 761-057971|PM J20533+6209|Gaia DR1 2195886967353517312|WEB 18720|Gaia DR2 2195886971653527168                                                                                                                                                                                                                                                                                                                                                                                                        ,PM*    ,PM*          ,High proper-motion Star        ,PM*|IR |X  |** |PM*|PM*|PM*|*  |*                                                      ,313.3324545,62.1543927,7.0406
185,,WISE J000517.48+373720.5    ,WISE J000517.48+373720.5|EQ J0005+3737                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,IR |BD*|BD*|BD*                                                                        ,1.322833333,37.62236111,7.05
186,,V* VX Ari                   ,Karmn J02442+255|PLX  555|LSPM J0244+2531|ASCC  654779|UCAC2  40803044|2MASS J02441537+2531249|USNO-B1.0 1155-00031777|1RXS J024416.0+253134|8pc 132.42|AC +25  7918|CSI+25-02413|Ci 20  180|G  36-31|GCRV  1544|GEN# +6.10010109|GEN# +9.80036031|GJ   109|HIC  12781|HIP  12781|JP11  5109|LFT  224|LHS  1439|LTT 10897|MCC 400|NLTT  8817|PM 02413+2519|Ross  556|TYC 1772-986-1|UBV M  42925|UBV    2710|V* VX Ari|VVO  51|Zkh  46|[GKL99]  75|[GS83]  68|[RHG95]   492|PLX  555.00|RX J0244.2+2531|[ZEH2003] RX J0244.2+2531  1|WISEA J024416.15+253120.5|StKM 2-231|UCAC4 578-006105|PM J02442+2531|GALEX 6377037839452865034|WEB  2599|Gaia DR2 114207651462714880                                                                                                                                                                                                                                                                                                                                                                                                       ,Fl*    ,Fl*          ,Flare Star                     ,Fl*|V* |X  |*  |PM*|IR |PM*|Fl*|PM*|PM*|PM*|*  |UV |UV                                 ,41.06462257,25.52336584,7.063766667
187,,PM J10367+1521              ,2MASS J10364483+1521394|[ZEH2003] RX J1036.7+1521  1|RX J1036.7+1521|1RXS J103645.2+152138|RBS   887|** DAE    3|PM J10367+1521|UCAC4 527-051290                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,**     ,**           ,Double or multiple star        ,IR |*  |X  |** |X  |PM*|PM*|*                                                          ,159.1868571,15.3609317,7.1
188,,WISE J071322.55-291751.9    ,WISE J071322.55-291751.9|WISEA J071322.55-291752.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,BD*|IR |BD*                                                                            ,108.343984,-29.297767,7.1
189,,L  230-188                  ,PM 04093-5342|NLTT 12731|GEN# +9.86230188|GJ  1068|L  230-188|LFT  334|LHS    22|LTT  1891|[RHG95]   733|2MASS J04102815-5336078|WISEA J041027.14-533633.5|GCRV 26227|Gaia DR2 4780100658292046592                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,PM*    ,PM*          ,High proper-motion Star        ,PM*|*  |PM*|IR |PM*                                                                    ,62.61718071,-53.60226063,7.1146
190,,2MASSW J1507476-162738      ,2MUCD 11296|2MASS J15074769-1627386|2MASSI J1507476-162738|2MASSW J1507476-162738|[B2006] J150747.6-162738|WISEA J150747.56-162749.3|Gaia DR2 6306068659857135232                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,*  |BD*|Rad|PM*|IR |BD*                                                                ,226.9486486,-16.461144,7.1473
191,,G 207-16                    ,"Gaia DR2 2042937585610945536|PLX 4459|LSPM J1907+3232|UCAC2  43304362|2MASS J19074283+3232396|USNO-B1.0 1225-00412171|AC +32 54804-0|CSI+32  3326  2|Ci 20 1130|G 207-16|GCRV 11590|L 1499-28|LFT 1451|LHS   471|LP  336-6|LTT 15603|NLTT 47437|USNO 351|Zkh 286|[RHG95]  3009|BPM 94000|WDS J19074+3230Ca,Cb|ADS 12061 CD|** KUI   90|CCDM J19075+3231HI|** STF 2461C|WDS J19074+3230C|GJ   747|StKM 2-1401|GJ   747 A|CSI+32  3326  5|GJ   747 B|Zkh 287|[RHG95]  3010|PM J19077+3232|WEB 16349                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",**     ,**           ,Double or multiple star        ,IR |PM*|** |*  |PM*                                                                    ,286.929114,32.544917,7.15
192,,G 157-77                    ,NLTT 57290|Karmn J23351-023|EPIC 246333864|8pc 138.30|G 157-77|GEN# +9.80157077|GJ  1286|LHS   546|USNO 474|Zkh 351|[RHG95]  3715|2MASS J23351050-0223214|PLX 5703.11|Gaia DR2 2640434056928150400|WISEA J233511.02-022329.7|UCAC4 439-123945|PM J23351-0223|GALEX 2908236980274858545                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,PM*    ,PM*          ,High proper-motion Star        ,PM*|*  |IR |PM*|PM*|*  |UV |UV                                                         ,353.7935924,-2.389059666,7.1782
193,,2MASS J22544969+1259221     ,2MASS J22544969+1259221|SDSS J225449.68+125922.5|SDSS J225449.68+125922.6|Gaia DR2 2719776740133094016                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,PM*    ,PM*          ,High proper-motion Star        ,*  |IR |PM*|*                                                                          ,343.7070135,12.98960518,7.2
194,,WISE J004945.61+215120.0    ,WISE J004945.61+215120.0|EQ J0049+2151                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,IR |BD*|BD*                                                                            ,12.44004167,21.85555556,7.2
195,,V* BX Cet                   ,Karmn J02362+068|LSPM J0236+0652|2MASS J02361535+0652191|USNO-B1.0 0968-00026146|8pc 138.72B|BD+06   398B|CCDM J02361+0653B|CSI+06   398  2|Ci 20  175|G  73-71|G  76-12|GEN# +1.00016160B|GEN# +1.20016160|GEN# +9.80073071|GJ   105 B|GSC 00052-00151|IDS 02307+0626 B|LFT  218|LHS    16|LTT 10859|MCC 396|NLTT  8455|UBV    2587|USNO 802|V* BX Cet|Zkh  44|[R78b] 153|[RHG95]   463|vMa 2-3|** PLQ   32B|WDS J02361+0653C|AKARI-IRC-V1 J0236161+065228|WISE J023616.50+065233.0|PMSC 02307+0626B|Gaia DR2 18565464288396416|WISEA J023616.52+065232.9|UCAC4 485-003632|PM J02362+0652                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,BY*    ,BY*          ,Variable of BY Dra type        ,V* |*  |PM*|IR |BY*|** |PM*|PM*|PM*|*                                                  ,39.06361119,6.871645638,7.2221
196,,HD  16160                   ,[TSA98] J023603.28+065221.38|1RXS J023602.7+065256|PM 02335+0638|PLX  520|LSPM J0236+0653|TYC   52-1686-1|ASCC 1005596|2MASS J02360498+0653140|USNO-B1.0 0968-00026119|2E   596|8pc 138.72A|AG+06  271|BD+06   398|CCDM J02361+0653A|CSI+06   398  1|Ci 20  174|FK5 1073|G  73-70A|G  76-11|GC  3121|GCRV  1464|GEN# +1.00016160A|GJ   105 A|HD  16160|HIC  12114|HIP  12114|HR   753|IDS 02307+0626 A|JP11   669|LFT  217|LHS    15|LTT 10858|N30  523|NLTT  8447|PM 02333+0639|PMC 90-93   708|PPM 145742|SAO 110636|SKY#  3865|SPOCS  129|UBV    2586|UBV M   9036|USNO 801|YZ   6   961|YZC 22   961|Zkh  43|[B10]   588|2E 0233.4+0639|WDS J02361+0653A|IRAS 02334+0639|AKARI-IRC-V1 J0236057+065322|WISE J023606.07+065327.1|** GKI    1A|** PLQ   32A|PMSC 02307+0626A|PMSC 02307+0626Aa|WISEA J023606.15+065327.9|WEB  2492|Gaia DR2 19316224572460416                                                                                                                                                                                                                  ,PM*    ,PM*          ,High proper-motion Star        ,PM*|IR |X  |** |PM*|*  |PM*|*  |Ro*                                                    ,39.0204266,6.886786552,7.22225
197,,LAWD 96                     ,LEHPM 64|NLTT 58832|2MASS J00021076-4309560|PLX 5808|BPM 45338|CF 20541|CSI-43-23595|Ci 20 1474|EGGR 165|GEN# +9.85988088|GJ   915|L  362-81|LAWD 96|LFT 1849|LHS  1005|LP  988-88|LPM 901|LTT  9857|UBV   20649|WD 2359-43|WD 2359-434|Zkh 356|uvby98 986362081|PLX 5808.00|PM 23596-4325|WISEA J000211.31-431002.6|Gaia DR2 4994877094997259264                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,WD*    ,WD*          ,White Dwarf                    ,IR |PM*|WD*|*  |PM*|PM*|PM*|WD*                                                        ,0.54468498,-43.16538736,7.235033333
